meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Internazionali di Nuoto - LV Settecolli,22.27,01/07/2018,Men 50 Butterfly LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,1,1,1021,Rome,ITA
18th FINA World Championships 2019,22.35,22/07/2019,Men 50 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,2,2,989,Gwangju,KOR
Spanish Championships,22.43,05/04/2009,Men 50 Butterfly LCM Male,ESP,Spain,"MUNOZ, Rafael",M,03/03/1988,,,3,3,,Malaga,ESP
European Championships 2018,22.48,07/08/2018,Men 50 Butterfly LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,4,4,993,Glasgow,GBR
Mare Nostrum Monaco,22.53,16/06/2018,Men 50 Butterfly LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,5,5,986,Monaco,MON
18th FINA World Championships 2019,22.57,21/07/2019,Men 50 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,6,6,960,Gwangju,KOR
FINA Champions Swim Series 2019,22.60,11/05/2019,Men 50 Butterfly LCM Male,BRA,Brazil,"SANTOS, Nicholas",M,14/02/1980,,,7,7,956,Budapest,HUN
2017 Maria Lenk Trophy,22.61,03/05/2017,Men 50 Butterfly LCM Male,BRA,Brazil,"SANTOS, Nicholas",M,14/02/1980,,,8,8,976,Rio de Janeiro,BRA
13th FINA World Championships 2009,22.67,27/07/2009,Men 50 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,9,9,,Rome,ITA
13th FINA World Championships 2009,22.68,26/07/2009,Men 50 Butterfly LCM Male,ESP,Spain,"MUNOZ, Rafael",M,03/03/1988,,,10,10,,Rome,ITA
Mare Nostrum Monaco,22.69,16/06/2018,Men 50 Butterfly LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,11,11,966,Monaco,MON
10e Open de France de Natation Vichy Val d'Allier,22.69,02/07/2016,Men 50 Butterfly LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,11,12,966,Vichy,FRA
13th FINA World Championships 2009,22.69,01/08/2009,Men 50 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,11,13,,Rome,ITA
18th FINA World Championships 2019,22.70,22/07/2019,Men 50 Butterfly LCM Male,RUS,Russian Federation,"KOSTIN, Oleg",M,06/05/1992,,,14,14,944,Gwangju,KOR
Super Cup,22.70,26/05/2017,Men 50 Butterfly LCM Male,BRA,Brazil,"MARTINS, Henrique",M,14/11/1991,,,14,15,964,Belo Horizonte,BRA
Open de France 2018,22.73,07/07/2018,Men 50 Butterfly LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,16,16,960,Chatres,FRA
European Championships 2016,22.73,16/05/2016,Men 50 Butterfly LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,16,17,960,London,GBR
13th FINA World Championships 2009,22.73,27/07/2009,Men 50 Butterfly LCM Male,AUS,Australia,"TARGETT, Matthew",M,24/12/1985,,,16,18,,Rome,ITA
Russian National Swimming Championships,22.74,08/04/2019,Men 50 Butterfly LCM Male,RUS,Russian Federation,"KOSTIN, Oleg",M,06/05/1992,,,19,19,939,Moscow,RUS
17th FINA World Championships 2017,22.75,24/07/2017,Men 50 Butterfly LCM Male,GBR,Great Britain,"PROUD, Benjamin",M,21/09/1994,,,20,20,958,Budapest,HUN
13th FINA World Championships 2009,22.75,26/07/2009,Men 50 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,20,21,,Rome,ITA
17th FINA World Championships 2017,22.76,23/07/2017,Men 50 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,22,22,957,Budapest,HUN
Maria Lenk Trophy,22.76,24/04/2012,Men 50 Butterfly LCM Male,BRA,Brazil,"CIELO FILHO, Cesar",M,10/01/1987,,,22,23,957,Rio de Janeiro,BRA
18th FINA World Championships 2019,22.77,21/07/2019,Men 50 Butterfly LCM Male,BRA,Brazil,"SANTOS, Nicholas",M,14/02/1980,,,24,24,935,Gwangju,KOR
Maria Lenk / Brasil Trophy,22.77,20/04/2019,Men 50 Butterfly LCM Male,BRA,Brazil,"SANTOS, Nicholas",M,14/02/1980,,,24,25,935,Rio de Janeiro,BRA
Mare Nostrum Monaco,22.77,16/06/2018,Men 50 Butterfly LCM Male,UKR,Ukraine,"GOVOROV, Andrii",M,10/04/1992,,,24,26,955,Monaco,MON
