meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
14th FINA World Swimming Championships (25m) 2018,01:51.57,11/12/2018,Men 200 Butterfly SCM Male,USA,United States of America,"HARTING, Zach",M,27/08/1997,,,176,176,921,Hangzhou,CHN
FINA/airweave Swimming World Cup 2017,01:51.57,15/11/2017,Men 200 Butterfly SCM Male,CHN,People's Republic of China,"LI, Zhuhao",M,09/01/1999,,,176,177,921,Tokyo,JPN
FINA/Arena Swimming World Cup 2009,01:51.57,10/11/2009,Men 200 Butterfly SCM Male,GBR,Great Britain,"ROCK, Michael",M,13/03/1987,,,176,178,990,Stockholm,SWE
14th FINA World Swimming Championships (25m) 2018,01:51.58,11/12/2018,Men 200 Butterfly SCM Male,RUS,Russian Federation,"KHARLANOV, Aleksandr",M,26/10/1995,,,179,179,920,Hangzhou,CHN
-,01:51.58,14/01/2001,Men 200 Butterfly SCM Male,FRA,France,"ESPOSITO, Franck",M,13/04/1971,,,179,180,,Antibes,FRA
2017 Hancock Prospecting Short,01:51.60,26/10/2017,Men 200 Butterfly SCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,181,181,920,Adelaide,AUS
FINA/MASTBANK Swimming World Cup 2014,01:51.61,04/10/2014,Men 200 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,182,182,920,Moscow,RUS
FINA/Arena Swimming World Cup 2012,01:51.61,02/10/2012,Men 200 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,182,183,934,Dubai,UAE
10th FINA World Swimming Championships (25m) 2010,01:51.61,19/12/2010,Men 200 Butterfly SCM Male,BRA,Brazil,"ALMEIDA, Kaio Marcio",M,19/10/1984,,,182,184,934,Dubai,UAE
European Short Course Swimming Championships 2007,01:51.61,15/12/2007,Men 200 Butterfly SCM Male,POL,Poland,"KORZENIOWSKI, Pawel",M,09/07/1985,,,182,185,,Debrecen,HUN
European Short Course Swimming Championships 2015,01:51.62,06/12/2015,Men 200 Butterfly SCM Male,DEN,Denmark,"BROMER, Viktor B",M,20/04/1993,,,186,186,919,Netanya,ISR
European Short Course Swimming Championships 2013,01:51.62,14/12/2013,Men 200 Butterfly SCM Male,RUS,Russian Federation,"SKVORTSOV, Nikolay",M,28/03/1984,,,186,187,934,Herning,DEN
European Short Course Swimming Championships 2011,01:51.62,10/12/2011,Men 200 Butterfly SCM Male,GBR,Great Britain,"ROEBUCK, Joe",M,05/06/1985,,,186,188,934,Szczecin,POL
