meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
18th FINA World Championships 2019,49.50,26/07/2019,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,1,1,1019,Gwangju,KOR
18th FINA World Championships 2019,49.66,27/07/2019,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,2,2,1009,Gwangju,KOR
13th FINA World Championships 2009,49.82,01/08/2009,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,3,3,,Rome,ITA
17th FINA World Championships 2017,49.86,29/07/2017,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,4,4,997,Budapest,HUN
13th FINA World Championships 2009,49.95,01/08/2009,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,5,5,,Rome,ITA
13th FINA World Championships 2009,50.01,31/07/2009,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,6,6,,Rome,ITA
17th FINA World Championships 2017,50.07,28/07/2017,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,7,7,985,Budapest,HUN
17th FINA World Championships 2017,50.08,28/07/2017,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,8,8,984,Budapest,HUN
2009 USA Swimming National Champs,50.22,09/07/2009,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,9,9,,"Indianapolis, IN",USA
18th FINA World Championships 2019,50.28,26/07/2019,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,10,10,972,Gwangju,KOR
Mission Viejo Swim Meet of Champions,50.36,23/06/2019,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,11,11,968,Mission Viejo,USA
Olympic Games Rio 2016,50.39,12/08/2016,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,12,12,966,Rio de Janeiro,BRA
11th FINA World Championships 2005,50.40,30/07/2005,Men 100 Butterfly LCM Male,USA,United States of America,"CROCKER, Ian",M,31/08/1982,,,13,13,,Montreal,CAN
13th FINA World Championships 2009,50.41,01/08/2009,Men 100 Butterfly LCM Male,ESP,Spain,"MUNOZ, Rafael",M,03/03/1988,,,14,14,,Rome,ITA
2015 U.S. National Champs,50.45,08/08/2015,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,15,15,963,San Antonio,USA
13th FINA World Championships 2009,50.48,31/07/2009,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,16,16,,Rome,ITA
2018 Summer Nats,50.50,27/07/2018,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,17,17,960,"Irvine, CA",USA
16th FINA World Championships 2015,50.56,08/08/2015,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,18,18,956,Kazan,RUS
13th FINA World Championships 2009,50.56,31/07/2009,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,18,19,,Rome,ITA
Olympic Games Beijing 2008,50.58,16/08/2008,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,20,20,1026,Beijing,CHN
13th FINA World Championships 2009,50.59,31/07/2009,Men 100 Butterfly LCM Male,ESP,Spain,"MUNOZ, Rafael",M,03/03/1988,,,21,21,,Rome,ITA
Olympic Games Beijing 2008,50.59,16/08/2008,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,21,22,1026,Beijing,CHN
17th FINA World Championships 2017,50.62,29/07/2017,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,23,23,953,Budapest,HUN
European Championships 2018,50.64,09/08/2018,Men 100 Butterfly LCM Male,ITA,Italy,"CODIA, Piero",M,22/10/1989,,,24,24,952,Glasgow,GBR
21st Commonwealth Games 2018,50.65,09/04/2018,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,25,25,951,Gold Coast,AUS
13th FINA World Championships 2009,50.65,31/07/2009,Men 100 Butterfly LCM Male,VEN,Venezuela,"SUBIRATS, Albert",M,25/09/1986,,,25,26,,Rome,ITA
17th FINA World Championships 2017,50.67,28/07/2017,Men 100 Butterfly LCM Male,GBR,Great Britain,"GUY, James",M,26/11/1995,,,27,27,950,Budapest,HUN
Philipps 66 National Championships,50.68,02/08/2019,Men 100 Butterfly LCM Male,USA,United States of America,"ROONEY, Maxime",M,16/04/1998,,,28,28,949,Palo Alto,USA
14th FINA World Championships 2011,50.71,30/07/2011,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,29,29,948,Shanghai,CHN
13th Pan Pacific Championships 2018,50.75,11/08/2018,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,30,30,946,Tokyo,JPN
Olympic Games Beijing 2008,50.76,14/08/2008,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,31,31,1016,Beijing,CHN
USA Olympic Trials 2004,50.76,13/07/2004,Men 100 Butterfly LCM Male,USA,United States of America,"CROCKER, Ian",M,31/08/1982,,,31,32,,"Long Beach, CA",USA
17th FINA World Championships 2017,50.77,28/07/2017,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,33,33,944,Budapest,HUN
12th FINA World Championships 2007,50.77,31/03/2007,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,33,34,,Melbourne,AUS
17th FINA World Championships 2017,50.78,28/07/2017,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,35,35,944,Budapest,HUN
13th FINA World Championships 2009,50.78,31/07/2009,Men 100 Butterfly LCM Male,KEN,Kenya,"DUNFORD, Jason",M,28/11/1986,,,35,36,,Rome,ITA
13th FINA World Championships 2009,50.79,01/08/2009,Men 100 Butterfly LCM Male,VEN,Venezuela,"SUBIRATS, Albert",M,25/09/1986,,,37,37,,Rome,ITA
12th FINA World Championships 2007,50.82,31/03/2007,Men 100 Butterfly LCM Male,USA,United States of America,"CROCKER, Ian",M,31/08/1982,,,38,38,,Melbourne,AUS
18th FINA World Championships 2019,50.83,27/07/2019,Men 100 Butterfly LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,17/03/2002,,,39,39,941,Gwangju,KOR
17th FINA World Championships 2017,50.83,29/07/2017,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,39,40,941,Budapest,HUN
17th FINA World Championships 2017,50.83,29/07/2017,Men 100 Butterfly LCM Male,GBR,Great Britain,"GUY, James",M,26/11/1995,,,39,41,941,Budapest,HUN
Olympic Games Rio 2016,50.83,11/08/2016,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,39,42,941,Rio de Janeiro,BRA
French National Championships Elite,50.85,21/04/2019,Men 100 Butterfly LCM Male,FRA,France,"METELLA, Mehdy",M,17/07/1992,,,43,43,940,Rennes,FRA
13th FINA World Championships 2009,50.85,01/08/2009,Men 100 Butterfly LCM Male,AUS,Australia,"LAUTERSTEIN, Andrew",M,22/05/1987,,,43,44,,Rome,ITA
European Championships 2016,50.86,21/05/2016,Men 100 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,45,45,939,London,GBR
Olympic Games London 2012,50.86,02/08/2012,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,45,46,939,London,GBR
11th Pan Pacific Championships 2010,50.86,20/08/2010,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,45,47,939,"Irvine, CA",USA
2017 Summer National Champs,50.87,29/06/2017,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,48,48,939,Indianapolis,USA
16th FINA World Championships 2015,50.87,08/08/2015,Men 100 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,48,49,939,Kazan,RUS
Olympic Games Beijing 2008,50.87,14/08/2008,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,48,50,1009,Beijing,CHN
13th FINA World Championships 2009,50.90,31/07/2009,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,51,51,,Rome,ITA
13th FINA World Championships 2009,50.90,31/07/2009,Men 100 Butterfly LCM Male,USA,United States of America,"MCGILL, Tyler",M,18/08/1987,,,51,52,,Rome,ITA
16th FINA World Championships 2015,50.91,07/08/2015,Men 100 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,53,53,937,Kazan,RUS
TYR Pro Swim Series,50.92,06/03/2020,Men 100 Butterfly LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,54,54,918,Des Mointes,USA
17th FINA World Championships 2017,50.92,29/07/2017,Men 100 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,54,55,936,Budapest,HUN
Olympic Games Beijing 2008,50.92,15/08/2008,Men 100 Butterfly LCM Male,SRB,Serbia,"CAVIC, Milorad",M,31/05/1984,,,54,56,1006,Beijing,CHN
13th FINA World Championships 2009,50.93,31/07/2009,Men 100 Butterfly LCM Male,AUS,Australia,"LAUTERSTEIN, Andrew",M,22/05/1987,,,57,57,,Rome,ITA
18th FINA World Championships 2019,50.94,26/07/2019,Men 100 Butterfly LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,17/03/2002,,,58,58,935,Gwangju,KOR
18th FINA World Championships 2019,50.95,26/07/2019,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,59,59,934,Gwangju,KOR
17th FINA World Championships 2017,50.96,29/07/2017,Men 100 Butterfly LCM Male,CHN,People's Republic of China,"LI, Zhuhao",M,09/01/1999,,,60,60,934,Budapest,HUN
2017 ST TXLA Speedo Southern Sectionals,50.96,08/07/2017,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,60,61,934,Austin,USA
16th FINA World Championships 2015,50.96,08/08/2015,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,60,62,934,Kazan,RUS
Olympic Games Beijing 2008,50.97,15/08/2008,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,63,63,1003,Beijing,CHN
10th FINA World Championships 2003,50.98,26/07/2003,Men 100 Butterfly LCM Male,USA,United States of America,"CROCKER, Ian",M,31/08/1982,,,64,64,,Barcelona,ESP
TT - 2018 TYR Pro Swim Series,51.00,01/03/2018,Men 100 Butterfly LCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,65,65,932,Atlanta,USA
2018 Atlanta PSS,51.00,01/03/2018,Men 100 Butterfly LCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,65,66,932,Atlanta,USA
17th FINA World Championships 2017,51.00,29/07/2017,Men 100 Butterfly LCM Male,AUS,Australia,"IRVINE, Grant",M,17/03/1991,,,65,67,932,Budapest,HUN
U.S. Olympic Team Trials - Swimming,51.00,02/07/2016,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,65,68,932,"Omaha, NE",USA
Japanese National Sports Festival,51.00,11/09/2009,Men 100 Butterfly LCM Male,JPN,Japan,"KAWAMOTO, Kouhei",M,06/10/1979,,,65,69,,Niigata,JPN
13th FINA World Championships 2009,51.02,31/07/2009,Men 100 Butterfly LCM Male,BRA,Brazil,"MANGABEIRA, Gabriel",M,31/01/1982,,,70,70,,Rome,ITA
13th FINA World Championships 2009,51.02,31/07/2009,Men 100 Butterfly LCM Male,VEN,Venezuela,"SUBIRATS, Albert",M,25/09/1986,,,70,71,,Rome,ITA
16th FINA World Championships 2015,51.03,07/08/2015,Men 100 Butterfly LCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,72,72,930,Kazan,RUS
16th FINA World Championships 2015,51.03,07/08/2015,Men 100 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,72,73,930,Kazan,RUS
13th FINA World Championships 2009,51.03,31/07/2009,Men 100 Butterfly LCM Male,AUS,Australia,"LAUTERSTEIN, Andrew",M,22/05/1987,,,72,74,,Rome,ITA
18th Asian Games 2018,51.04,22/08/2018,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,75,75,929,Jakarta,INA
FINA/airweave Swimming World Cup 2015,51.04,16/08/2015,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,75,76,929,Paris-Chartres,FRA
17th FINA World Championships 2017,51.06,28/07/2017,Men 100 Butterfly LCM Male,FRA,France,"METELLA, Mehdy",M,17/07/1992,,,77,77,928,Budapest,HUN
16th FINA World Championships 2015,51.06,08/08/2015,Men 100 Butterfly LCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,77,78,928,Kazan,RUS
15th FINA World Championships 2013,51.06,03/08/2013,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,77,79,928,Barcelona,ESP
13th FINA World Championships 2009,51.07,01/08/2009,Men 100 Butterfly LCM Male,KEN,Kenya,"DUNFORD, Jason",M,28/11/1986,,,80,80,,Rome,ITA
13th FINA World Championships 2009,51.07,31/07/2009,Men 100 Butterfly LCM Male,USA,United States of America,"MCGILL, Tyler",M,18/08/1987,,,80,81,,Rome,ITA
6th FINA World Junior Swimming Championships 2017,51.08,25/08/2017,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,82,82,927,Indianapolis,USA
11th FINA World Championships 2005,51.08,29/07/2005,Men 100 Butterfly LCM Male,USA,United States of America,"CROCKER, Ian",M,31/08/1982,,,82,83,,Montreal,CAN
Philipps 66 National Championships,51.09,02/08/2019,Men 100 Butterfly LCM Male,USA,United States of America,"ROONEY, Maxime",M,16/04/1998,,,84,84,927,Palo Alto,USA
17th FINA World Championships 2017,51.09,28/07/2017,Men 100 Butterfly LCM Male,ITA,Italy,"CODIA, Piero",M,22/10/1989,,,84,85,927,Budapest,HUN
FINA/airweave Swimming World Cup 2015,51.09,07/11/2015,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,84,86,927,Dubai,UAE
16th FINA World Championships 2015,51.09,07/08/2015,Men 100 Butterfly LCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,84,87,927,Kazan,RUS
Olympic Games Beijing 2008,51.10,14/08/2008,Men 100 Butterfly LCM Male,UKR,Ukraine,"SERDINOV, Andriy",M,17/11/1982,,,88,88,995,Beijing,CHN
10th FINA World Championships 2003,51.10,26/07/2003,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,88,89,,Barcelona,ESP
Japan Inter-College Swimming Competition,51.11,07/09/2019,Men 100 Butterfly LCM Male,JPN,Japan,"ISHIKAWA, Shinnosuke",M,08/12/2000,,,90,90,926,Tokyo,JPN
2018 Summer Nats,51.11,27/07/2018,Men 100 Butterfly LCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,90,91,926,"Irvine, CA",USA
16th FINA World Championships 2015,51.11,07/08/2015,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,90,92,926,Kazan,RUS
13th FINA World Championships 2009,51.11,31/07/2009,Men 100 Butterfly LCM Male,BRA,Brazil,"MANGABEIRA, Gabriel",M,31/01/1982,,,90,93,,Rome,ITA
Youth Olympic Games Buenos Aires 2018,51.12,09/10/2018,Men 100 Butterfly LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,17/03/2002,,,94,94,925,Buenos Aires,ARG
Olympic Games Beijing 2008,51.12,16/08/2008,Men 100 Butterfly LCM Male,AUS,Australia,"LAUTERSTEIN, Andrew",M,22/05/1987,,,94,95,994,Beijing,CHN
Olympic Games Beijing 2008,51.13,16/08/2008,Men 100 Butterfly LCM Male,USA,United States of America,"CROCKER, Ian",M,31/08/1982,,,96,96,994,Beijing,CHN
Olympic Games Rio 2016,51.14,12/08/2016,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,97,97,924,Rio de Janeiro,BRA
Olympic Games Rio 2016,51.14,12/08/2016,Men 100 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,97,98,924,Rio de Janeiro,BRA
Olympic Games Rio 2016,51.14,12/08/2016,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,97,99,924,Rio de Janeiro,BRA
USA Olympic Team Trials,51.14,25/06/2012,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,97,100,924,"Omaha, NE",USA
Olympic Games Beijing 2008,51.14,14/08/2008,Men 100 Butterfly LCM Male,KEN,Kenya,"DUNFORD, Jason",M,28/11/1986,,,97,101,993,Beijing,CHN
14th FINA World Championships 2011,51.15,30/07/2011,Men 100 Butterfly LCM Male,POL,Poland,"CZERNIAK, Konrad",M,11/07/1989,,,102,102,924,Shanghai,CHN
18th FINA World Championships 2019,51.16,27/07/2019,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,103,103,923,Gwangju,KOR
6th FINA World Junior Swimming Championships 2017,51.16,25/08/2017,Men 100 Butterfly LCM Male,RUS,Russian Federation,"KUIMOV, Egor",M,04/07/1999,,,103,104,923,Indianapolis,USA
17th FINA World Championships 2017,51.16,29/07/2017,Men 100 Butterfly LCM Male,FRA,France,"METELLA, Mehdy",M,17/07/1992,,,103,105,923,Budapest,HUN
17th FINA World Championships 2017,51.16,28/07/2017,Men 100 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,103,106,923,Budapest,HUN
17th FINA World Championships 2017,51.16,28/07/2017,Men 100 Butterfly LCM Male,GBR,Great Britain,"GUY, James",M,26/11/1995,,,103,107,923,Budapest,HUN
2014 Summer Nationals,51.17,06/08/2014,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,108,108,922,"Irvine, CA",USA
125. Deutsche Meisterschaften 2013 ,51.19,25/04/2013,Men 100 Butterfly LCM Male,GER,Germany,"DEIBLER, Steffen",M,10/07/1987,,,109,109,921,Berlin,GER
11th FINA World Championships 2005,51.19,29/07/2005,Men 100 Butterfly LCM Male,USA,United States of America,"CROCKER, Ian",M,31/08/1982,,,109,110,,Montreal,CAN
U.S. Olympic Team Trials - Swimming,51.20,02/07/2016,Men 100 Butterfly LCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,111,111,921,"Omaha, NE",USA
Philipps 66 National Championships,51.21,02/08/2019,Men 100 Butterfly LCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,112,112,920,Palo Alto,USA
17th FINA World Championships 2017,51.21,28/07/2017,Men 100 Butterfly LCM Male,SGP,Singapore,"SCHOOLING, Joseph",M,16/06/1995,,,112,113,920,Budapest,HUN
Olympic Games London 2012,51.21,03/08/2012,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,112,114,920,London,GBR
CAMPEONATO BRASILEIRO ABSOLUTO DE NATAÇÃO 2009,51.21,06/05/2009,Men 100 Butterfly LCM Male,BRA,Brazil,"MANGABEIRA, Gabriel",M,31/01/1982,,,112,115,,Rio de Janeiro,BRA
European Championships 2016,51.22,21/05/2016,Men 100 Butterfly LCM Male,POL,Poland,"CZERNIAK, Konrad",M,11/07/1989,,,116,116,920,London,GBR
13th FINA World Championships 2009,51.22,31/07/2009,Men 100 Butterfly LCM Male,SRB,Serbia,"LENDER, Ivan",M,29/07/1990,,,116,117,,Rome,ITA
13th FINA World Championships 2009,51.22,31/07/2009,Men 100 Butterfly LCM Male,GER,Germany,"STARKE, Benjamin",M,25/11/1986,,,116,118,,Rome,ITA
17th FINA World Championships 2017,51.23,28/07/2017,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,119,119,919,Budapest,HUN
European Championships 2018,51.24,09/08/2018,Men 100 Butterfly LCM Male,FRA,France,"METELLA, Mehdy",M,17/07/1992,,,120,120,919,Glasgow,GBR
Internazionali di Nuoto - LV Settecolli,51.24,29/06/2018,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,120,121,919,Rome,ITA
U.S. Olympic Team Trials - Swimming,51.24,02/07/2016,Men 100 Butterfly LCM Male,USA,United States of America,"STUBBLEFIELD, Seth",M,21/07/1993,,,120,122,919,"Omaha, NE",USA
2016 CHN National Championships ,51.24,03/04/2016,Men 100 Butterfly LCM Male,CHN,People's Republic of China,"LI, Zhuhao",M,09/01/1999,,,120,123,919,Foshan,CHN
11th African Games 2015,51.24,07/09/2015,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,120,124,919,Brazzaville,CGO
16th FINA World Championships 2015,51.24,08/08/2015,Men 100 Butterfly LCM Male,FRA,France,"METELLA, Mehdy",M,17/07/1992,,,120,125,919,Kazan,RUS
13th FINA World Championships 2009,51.24,31/07/2009,Men 100 Butterfly LCM Male,JPN,Japan,"FUJII, Takuro",M,21/04/1985,,,120,126,,Rome,ITA
Olympic Games Beijing 2008,51.24,14/08/2008,Men 100 Butterfly LCM Male,SLO,Slovenia,"MANKOC, Peter",M,04/07/1978,,,120,127,987,Beijing,CHN
7th FINA World Junior Swimming Championships 2019,51.25,22/08/2019,Men 100 Butterfly LCM Male,RUS,Russian Federation,"MINAKOV, Andrei",M,17/03/2002,,,128,128,918,Budapest,HUN
FINA Champions Swim Series 2019,51.25,12/05/2019,Men 100 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,128,129,918,Budapest,HUN
Olympic Games Athens 2004,51.25,20/08/2004,Men 100 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,128,130,,Athens,GRE
FINA Swimming World Cup 2019,51.26,15/08/2019,Men 100 Butterfly LCM Male,AUS,Australia,"IRVINE, Grant",M,17/03/1991,,,131,131,918,Singapore,SGP
18th FINA World Championships 2019,51.26,27/07/2019,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,131,132,918,Gwangju,KOR
Olympic Games Rio 2016,51.26,12/08/2016,Men 100 Butterfly LCM Male,CHN,People's Republic of China,"LI, Zhuhao",M,09/01/1999,,,131,133,918,Rio de Janeiro,BRA
U.S. Olympic Team Trials - Swimming,51.26,02/07/2016,Men 100 Butterfly LCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,131,134,918,"Omaha, NE",USA
U.S. Olympic Team Trials - Swimming,51.26,01/07/2016,Men 100 Butterfly LCM Male,USA,United States of America,"STUBBLEFIELD, Seth",M,21/07/1993,,,131,135,918,"Omaha, NE",USA
14th FINA World Championships 2011,51.26,30/07/2011,Men 100 Butterfly LCM Male,USA,United States of America,"MCGILL, Tyler",M,18/08/1987,,,131,136,918,Shanghai,CHN
13th FINA World Championships 2009,51.26,31/07/2009,Men 100 Butterfly LCM Male,RUS,Russian Federation,"KOROTYSHKIN, Evgenii",M,30/04/1983,,,131,137,,Rome,ITA
FINA Swimming World Cup 2019,51.27,04/10/2019,Men 100 Butterfly LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,138,138,917,Budapest,HUN
FINA/airweave Swimming World Cup 2015,51.27,16/08/2015,Men 100 Butterfly LCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,138,139,917,Paris-Chartres,FRA
Olympic Games Beijing 2008,51.27,15/08/2008,Men 100 Butterfly LCM Male,AUS,Australia,"LAUTERSTEIN, Andrew",M,22/05/1987,,,138,140,986,Beijing,CHN
