meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
13th FINA World Swimming Championships (25m) 2016,48.08,08/12/2016,Men 100 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,1,1,1022,Windsor,CAN
12th FINA World Swimming Championships (25m) 2014,48.44,04/12/2014,Men 100 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,2,2,1002,Doha,QAT
FINA/Arena Swimming World Cup 2009,48.48,15/11/2009,Men 100 Butterfly SCM Male,RUS,Russian Federation,"KOROTYSHKIN, Evgenii",M,30/04/1983,,,3,3,1084,Berlin,GER
14th FINA World Swimming Championships (25m) 2018,48.50,13/12/2018,Men 100 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,4,4,974,Hangzhou,CHN
FINA/MASTBANK Swimming World Cup 2014,48.56,30/09/2014,Men 100 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,5,5,995,Hong Kong,HKG
FINA/MASTBANK Swimming World Cup 2014,48.59,01/09/2014,Men 100 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,6,6,,Dubai,UAE
Mutual of Omaha Duel in the Pool,48.63,11/12/2015,Men 100 Butterfly SCM Male,USA,United States of America,"SHIELDS, Tom",M,11/07/1991,,,7,7,988,Indianapolis,USA
FINA/airweave Swimming World Cup 2016,48.66,31/08/2016,Men 100 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,8,8,986,Berlin,GER
FINA/MASTBANK Swimming World Cup 2014,48.70,28/08/2014,Men 100 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,9,9,986,Doha,QAT
14th FINA World Swimming Championships (25m) 2018,48.71,13/12/2018,Men 100 Butterfly SCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,10,10,961,Hangzhou,CHN
FINA/MASTBANK Swimming World Cup 2014,48.74,02/11/2014,Men 100 Butterfly SCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,11,11,984,Singapore,SGP
