meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Olympic Games London 2012,01:54.35,31/07/2012,Men 200 Butterfly LCM Male,AUT,Austria,"JUKIC, Dinko",M,09/01/1989,,,89,89,927,London,GBR
13th FINA World Championships 2009,01:54.35,28/07/2009,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,89,90,,Rome,ITA
Olympic Games Beijing 2008,01:54.35,13/08/2008,Men 200 Butterfly LCM Male,CHN,People's Republic of China,"WU, Peng",M,16/05/1987,,,89,91,985,Beijing,CHN
Olympic Games Beijing 2008,01:54.35,13/08/2008,Men 200 Butterfly LCM Male,NZL,New Zealand,"BURMESTER, Moss",M,19/06/1981,,,89,92,985,Beijing,CHN
Olympic Games Beijing 2008,01:54.35,12/08/2008,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,89,93,985,Beijing,CHN
10th FINA World Championships 2003,01:54.35,23/07/2003,Men 200 Butterfly LCM Male,USA,United States of America,"PHELPS, Michael",M,30/06/1985,,,89,94,,Barcelona,ESP
European Championships 2018,01:54.36,05/08/2018,Men 200 Butterfly LCM Male,HUN,Hungary,"KENDERESI, Tamas",M,13/12/1996,,,95,95,927,Glasgow,GBR
European Championships 2008,01:54.38,21/03/2008,Men 200 Butterfly LCM Male,POL,Poland,"KORZENIOWSKI, Pawel",M,09/07/1985,,,96,96,984,Eindhoven,NED
18th FINA World Championships 2019,01:54.39,24/07/2019,Men 200 Butterfly LCM Male,ITA,Italy,"BURDISSO, Federico",M,20/09/2001,,,97,97,926,Gwangju,KOR
Mare Nostrum - Spanish Grand Prix,01:54.42,11/06/2016,Men 200 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,98,98,925,Barcelona,ESP
13th FINA World Championships 2009,01:54.42,28/07/2009,Men 200 Butterfly LCM Male,AUT,Austria,"JUKIC, Dinko",M,09/01/1989,,,98,99,,Rome,ITA
13th FINA World Championships 2009,01:54.42,28/07/2009,Men 200 Butterfly LCM Male,USA,United States of America,"CLARY, Tyler",M,12/03/1989,,,98,100,,Rome,ITA
Olympic Games London 2012,01:54.43,30/07/2012,Men 200 Butterfly LCM Male,CHN,People's Republic of China,"CHEN, Yin",M,29/03/1986,,,101,101,925,London,GBR
Olympic Games London 2012,01:54.43,30/07/2012,Men 200 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,101,102,925,London,GBR
2019 Japan National Swimming Championships,01:54.44,05/04/2019,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,103,103,925,Tokyo,JPN
13th FINA World Championships 2009,01:54.45,29/07/2009,Men 200 Butterfly LCM Male,USA,United States of America,"CLARY, Tyler",M,12/03/1989,,,104,104,,Rome,ITA
Japan Open 2015,01:54.46,22/05/2015,Men 200 Butterfly LCM Male,JPN,Japan,"SETO, Daiya",M,24/05/1994,,,105,105,924,Tokyo,JPN
2009 Telstra Australian Swimming Championship,01:54.46,17/03/2009,Men 200 Butterfly LCM Male,AUS,Australia,"D'ARCY, Nick",M,23/07/1987,,,105,106,,Sydney,AUS
2017 Summer National Champs,01:54.47,27/06/2017,Men 200 Butterfly LCM Male,USA,United States of America,"CONGER, Jack",M,26/09/1994,,,107,107,924,Indianapolis,USA
16th FINA World Championships 2015,01:54.47,04/08/2015,Men 200 Butterfly LCM Male,DEN,Denmark,"BROMER, Viktor B",M,20/04/1993,,,107,108,924,Kazan,RUS
Olympic Games Beijing 2008,01:54.48,11/08/2008,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,109,109,982,Beijing,CHN
16th FINA World Championships 2015,01:54.50,04/08/2015,Men 200 Butterfly LCM Male,RSA,South Africa,"LE CLOS, Chad",M,12/04/1992,,,110,110,923,Kazan,RUS
13th FINA World Championships 2009,01:54.50,28/07/2009,Men 200 Butterfly LCM Male,BRA,Brazil,"ALMEIDA, Kaio Marcio",M,19/10/1984,,,110,111,,Rome,ITA
European Championships 2016,01:54.51,18/05/2016,Men 200 Butterfly LCM Male,HUN,Hungary,"CSEH, Laszlo",M,03/12/1985,,,112,112,923,London,GBR
13th FINA World Championships 2009,01:54.51,28/07/2009,Men 200 Butterfly LCM Male,RSA,South Africa,"ROUSSEAU, Sebastien",M,10/09/1990,,,112,113,,Rome,ITA
